mep_id;name;profile_url;email;x_url;x_handle;political_group;country;national_party;country_and_national_party
256810;HomeMika AALTOLA;https://www.europarl.europa.eu/meps/en/256810;mika.aaltola@europarl.europa.eu;https://x.com/MikaAaltola;MikaAaltola;Group of the European People's Party (Christian Democrats);Finland;Kansallinen Kokoomus (Finland);"Finland
						 
							 - Kansallinen Kokoomus (Finland)"
257043;HomeMaravillas ABADÍA JOVER;https://www.europarl.europa.eu/meps/en/257043;maravillas.abadiajover@europarl.europa.eu;https://x.com/mabadiajover;mabadiajover;Group of the European People's Party (Christian Democrats);Spain;Partido Popular (Spain);"Spain
						 
							 - Partido Popular (Spain)"
197490;HomeMagdalena ADAMOWICZ;https://www.europarl.europa.eu/meps/en/197490;magdalena.adamowicz@europarl.europa.eu;https://twitter.com/Adamowicz_Magda;Adamowicz_Magda;Group of the European People's Party (Christian Democrats);Poland;Independent (Poland);"Poland
						 
							 - Independent (Poland)"
256820;HomeGeorgios AFTIAS;https://www.europarl.europa.eu/meps/en/256820;georgios.aftias@europarl.europa.eu;;;Group of the European People's Party (Christian Democrats);Greece;Nea Demokratia (Greece);"Greece
						 
							 - Nea Demokratia (Greece)"
256987;HomeOihane AGIRREGOITIA MARTÍNEZ;https://www.europarl.europa.eu/meps/en/256987;oihane.agirregoitiamartinez@europarl.europa.eu;https://x.com/oagirregoitia;oagirregoitia;Renew Europe Group;Spain;Partido Nacionalista Vasco (Spain);"Spain
						 
							 - Partido Nacionalista Vasco (Spain)"
113523;HomePeter AGIUS;https://www.europarl.europa.eu/meps/en/113523;peter.agius@europarl.europa.eu;https://x.com/peteragius_eu;peteragius_eu;Group of the European People's Party (Christian Democrats);Malta;Partit Nazzjonalista (Malta);"Malta
						 
							 - Partit Nazzjonalista (Malta)"
197403;HomeAlex AGIUS SALIBA;https://www.europarl.europa.eu/meps/en/197403;alex.agiussaliba@europarl.europa.eu;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Malta;Partit Laburista (Malta);"Malta
						 
							 - Partit Laburista (Malta)"
256956;HomeGalato ALEXANDRAKI;https://www.europarl.europa.eu/meps/en/256956;galato.alexandraki@europarl.europa.eu;;;European Conservatives and Reformists Group;Greece;Elliniki Lusi-Greek Solution (Greece);"Greece
						 
							 - Elliniki Lusi-Greek Solution (Greece)"
256869;HomeGrégory ALLIONE;https://www.europarl.europa.eu/meps/en/256869;gregory.allione@europarl.europa.eu;;;Renew Europe Group;France;Renaissance (France);"France
						 
							 - Renaissance (France)"
197400;HomeAbir AL-SAHLANI;https://www.europarl.europa.eu/meps/en/197400;abir.alsahlani@europarl.europa.eu;https://twitter.com/abiralsahlani;abiralsahlani;Renew Europe Group;Sweden;Centerpartiet (Sweden);"Sweden
						 
							 - Centerpartiet (Sweden)"
256858;HomeNikolaos ANADIOTIS;https://www.europarl.europa.eu/meps/en/256858;nikolaos.anadiotis@europarl.europa.eu;;;Non-attached Members;Greece;Dimokratikó Patriotikó Kínima «NIKI» (Greece);"Greece
						 
							 - Dimokratikó Patriotikó Kínima «NIKI» (Greece)"
197475;HomeChristine ANDERSON;https://www.europarl.europa.eu/meps/en/197475;christine.anderson@europarl.europa.eu;;;Europe of Sovereign Nations Group;Germany;Alternative für Deutschland (Germany);"Germany
						 
							 - Alternative für Deutschland (Germany)"
256805;HomeLi ANDERSSON;https://www.europarl.europa.eu/meps/en/256805;li.andersson@europarl.europa.eu;;;The Left group in the European Parliament - GUE/NGL;Finland;Vasemmistoliitto (Finland);"Finland
						 
							 - Vasemmistoliitto (Finland)"
197448;HomeRasmus ANDRESEN;https://www.europarl.europa.eu/meps/en/197448;rasmus.andresen@europarl.europa.eu;https://twitter.com/RasmusAndresen;RasmusAndresen;Group of the Greens/European Free Alliance;Germany;Bündnis 90/Die Grünen (Germany);"Germany
						 
							 - Bündnis 90/Die Grünen (Germany)"
204332;HomeBarry ANDREWS;https://www.europarl.europa.eu/meps/en/204332;barry.andrews@europarl.europa.eu;;;Renew Europe Group;Ireland;Fianna Fáil Party (Ireland);"Ireland
						 
							 - Fianna Fáil Party (Ireland)"
130881;HomeMieke ANDRIESE;https://www.europarl.europa.eu/meps/en/130881;mieke.andriese@europarl.europa.eu;;;Patriots for Europe Group;Netherlands;Partij voor de Vrijheid (Netherlands);"Netherlands
						 
							 - Partij voor de Vrijheid (Netherlands)"
119652;HomeVytenis Povilas ANDRIUKAITIS;https://www.europarl.europa.eu/meps/en/119652;vytenis.andriukaitis@europarl.europa.eu;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Lithuania;Lietuvos socialdemokratų partija (Lithuania);"Lithuania
						 
							 - Lietuvos socialdemokratų partija (Lithuania)"
197691;HomeMathilde ANDROUËT;https://www.europarl.europa.eu/meps/en/197691;mathilde.androuet@europarl.europa.eu;https://x.com/mandrouet?s=21;mandrouet;Patriots for Europe Group;France;Rassemblement national (France);"France
						 
							 - Rassemblement national (France)"
202073;HomeMarc ANGEL;https://www.europarl.europa.eu/meps/en/202073;marc.angel@europarl.europa.eu;https://x.com/marcangel_lu;marcangel_lu;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Luxembourg;Parti ouvrier socialiste luxembourgeois (Luxembourg);"Luxembourg
						 
							 - Parti ouvrier socialiste luxembourgeois (Luxembourg)"
124973;HomeGerolf ANNEMANS;https://www.europarl.europa.eu/meps/en/124973;gerolf.annemans@europarl.europa.eu;;;Patriots for Europe Group;Belgium;Vlaams Belang (Belgium);"Belgium
						 
							 - Vlaams Belang (Belgium)"
257123;HomeLucia ANNUNZIATA;https://www.europarl.europa.eu/meps/en/257123;lucia.annunziata@europarl.europa.eu;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Italy;Partito Democratico (Italy);"Italy
						 
							 - Partito Democratico (Italy)"
257138;HomeGiuseppe ANTOCI;https://www.europarl.europa.eu/meps/en/257138;giuseppe.antoci@europarl.europa.eu;;;The Left group in the European Parliament - GUE/NGL;Italy;Movimento 5 Stelle (Italy);"Italy
						 
							 - Movimento 5 Stelle (Italy)"
96808;HomePablo ARIAS ECHEVERRÍA;https://www.europarl.europa.eu/meps/en/96808;pablo.ariasecheverria@europarl.europa.eu;https://x.com/pabloariase?lang=en;pabloariase;Group of the European People's Party (Christian Democrats);Spain;Partido Popular (Spain);"Spain
						 
							 - Partido Popular (Spain)"
24922;HomePascal ARIMONT;https://www.europarl.europa.eu/meps/en/24922;pascal.arimont@europarl.europa.eu;https://twitter.com/pascal_arimont;pascal_arimont;Group of the European People's Party (Christian Democrats);Belgium;Christlich Soziale Partei (Belgium);"Belgium
						 
							 - Christlich Soziale Partei (Belgium)"
197492;HomeBartosz ARŁUKOWICZ;https://www.europarl.europa.eu/meps/en/197492;bartosz.arlukowicz@europarl.europa.eu;https://x.com/Arlukowicz;Arlukowicz;Group of the European People's Party (Christian Democrats);Poland;Platforma Obywatelska (Poland);"Poland
						 
							 - Platforma Obywatelska (Poland)"
